,OTU1,OTU2,OTU3,OTU4,OTU5,OTU6,OTU7,OTU8,OTU9,OTU10,OTU11,OTU12,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU20,OTU21,OTU22,OTU23,OTU24,OTU25,OTU26,OTU27,OTU28,OTU29,OTU30,OTU31,OTU32,OTU33,OTU34,OTU35,OTU36,OTU37,OTU38,OTU39,OTU40,OTU41,OTU42,OTU43,OTU44,OTU45,OTU46,OTU47,OTU48,OTU49,OTU50,OTU51,OTU52,OTU53,OTU54,OTU55,OTU56,OTU57,OTU58,OTU59,OTU60,OTU61,OTU62,OTU63,OTU64,OTU65,OTU66,OTU67,OTU68,OTU69,OTU70,OTU71,OTU72,OTU73,OTU74,OTU75,OTU76,OTU77,OTU78,OTU79,OTU80,OTU81,OTU82,OTU83,OTU84,OTU85,OTU86,OTU87,OTU88,OTU89,OTU90,OTU91,OTU92,OTU93,OTU94,OTU95,OTU96,OTU97,OTU98,OTU99,OTU100
Sample38,630,104,82,224,33,39,10,0,271,495,309,344,0,0,72,0,90,17,119,0,78,95,0,21,38,9,317,0,8,77,72,232,0,26,47,0,0,14,311,0,54,0,0,6,38,0,25,0,22,221,0,0,91,59,281,32,0,106,57,0,0,16,21,10,4,52,0,0,0,121,16,65,0,0,77,0,55,20,0,111,45,0,11,0,95,20,164,0,22,38,63,35,11,48,37,0,19,164,96,77
Sample39,1147,102,141,144,25,67,10,0,141,330,141,198,0,0,72,0,179,37,114,10,52,86,0,25,76,28,191,0,14,145,40,97,0,50,98,0,0,43,187,19,27,10,0,8,53,0,37,0,27,107,0,0,66,24,219,0,0,50,42,0,0,16,42,27,4,28,6,0,0,62,22,167,0,0,26,0,34,49,0,70,97,5,19,0,63,39,92,67,25,74,44,48,16,88,64,0,34,103,59,119
Sample40,888,84,108,163,29,48,11,0,207,400,254,303,8,0,58,0,127,28,133,0,50,83,0,24,59,28,248,16,8,103,44,107,0,40,73,0,0,36,195,9,37,10,0,6,38,0,41,0,17,193,0,0,34,28,279,0,0,65,59,0,0,17,38,0,8,46,0,0,0,79,13,119,0,5,26,0,59,23,0,94,65,5,10,0,75,69,124,0,28,13,46,37,0,57,106,0,22,148,142,99
Sample41,1008,83,135,155,27,74,14,0,141,350,192,234,0,6,74,0,155,27,122,0,64,48,0,20,64,21,225,0,6,139,45,124,0,47,71,0,0,40,205,11,43,4,34,7,51,0,39,8,33,131,0,0,70,30,219,0,0,79,53,0,0,12,31,17,5,31,0,0,0,81,8,113,0,0,46,0,42,35,0,80,67,0,15,0,53,28,101,0,32,70,46,49,0,76,70,0,25,119,60,108
Sample42,817,75,37,189,32,43,9,0,143,356,234,339,0,0,68,0,95,0,89,0,17,96,0,33,66,23,175,0,9,137,12,71,0,33,63,0,0,39,104,0,0,8,0,0,41,0,36,0,22,206,0,0,56,20,202,0,0,43,56,0,3,11,34,23,0,44,0,0,0,56,5,82,0,0,0,0,100,22,0,112,59,0,13,0,47,40,134,0,21,7,62,37,0,26,300,0,20,228,130,82
Sample43,719,136,55,315,27,51,19,0,272,594,237,262,0,6,93,0,108,0,106,0,108,125,0,33,48,20,407,0,6,127,80,119,0,51,72,0,0,38,206,0,70,7,0,12,50,0,42,0,31,173,18,0,137,84,266,31,0,75,91,0,5,29,25,11,9,68,0,0,0,145,98,125,0,0,66,0,81,29,0,133,53,0,23,0,70,35,121,0,28,37,73,68,0,31,84,0,15,65,222,82
Sample44,921,138,37,239,29,53,19,0,349,432,196,227,0,0,101,0,138,10,102,19,124,127,0,24,54,25,319,21,6,143,53,115,0,59,69,0,0,39,177,0,61,11,0,15,56,0,39,0,22,167,0,0,77,60,212,42,0,88,63,0,0,31,24,21,12,62,0,0,0,125,109,123,0,0,58,0,73,35,0,117,66,0,16,0,81,61,135,0,20,34,44,77,14,37,121,3,21,74,175,86
Sample45,826,134,38,258,34,46,16,0,267,495,196,275,0,6,97,0,111,0,88,0,135,142,0,24,46,18,347,25,12,145,67,98,0,39,58,0,0,51,178,8,57,0,0,11,62,0,38,7,16,149,0,0,108,72,195,38,0,74,74,0,0,34,22,14,9,53,0,0,0,111,74,105,0,0,61,0,73,26,0,91,58,0,19,0,91,59,137,0,25,27,76,65,13,32,107,0,24,62,211,96
Sample46,838,156,35,268,31,50,11,0,264,454,215,245,0,0,94,0,107,0,103,0,99,169,0,30,51,28,308,23,10,155,52,114,0,49,61,0,0,104,131,0,46,8,0,0,66,0,32,10,17,161,0,0,60,48,206,19,0,62,66,0,3,42,27,0,5,47,0,0,0,94,53,110,0,8,19,0,96,26,0,92,52,0,17,0,80,52,116,0,28,16,51,60,0,38,154,3,17,68,223,85
Sample47,872,122,78,277,31,46,27,0,321,473,254,302,0,4,101,0,100,15,71,0,101,100,0,24,56,20,452,0,13,157,75,107,0,39,65,0,0,68,163,0,70,7,0,19,57,5,27,5,29,192,0,0,107,78,226,39,0,72,84,0,0,32,19,0,9,57,0,0,0,133,76,93,16,7,45,0,54,26,0,123,56,0,19,0,71,75,133,0,19,45,61,60,14,27,98,4,14,41,218,72
